"lower";"median";"upper";"time";"item"
0.000835792725;0.03858595;5.3355155;0;"extinction_rate"
9.31654675000001e-11;0.02584665;1.80847925;0.4;"extinction_rate"
7.55647000000003e-17;0.0212181;1.02827425;0.8;"extinction_rate"
4.95721250000002e-20;0.01897285;0.780212424999999;1.2;"extinction_rate"
2.27961325000004e-23;0.0174302;0.616417775;1.6;"extinction_rate"
2.31014075000001e-26;0.01618055;0.4720707;2;"extinction_rate"
6.71891950000003e-29;0.0151193;0.388363575;2.4;"extinction_rate"
2.56971675000003e-30;0.0141421;0.32572505;2.8;"extinction_rate"
1.23620825000003e-32;0.01340065;0.2773694;3.2;"extinction_rate"
1.36056875000002e-33;0.0128155;0.2476707;3.6;"extinction_rate"
6.65492000000025e-35;0.01226835;0.225104375;4;"extinction_rate"
1.71262150000002e-35;0.0118758;0.211545625;4.4;"extinction_rate"
5.23123025000006e-37;0.01151665;0.189917325;4.8;"extinction_rate"
1.16148075e-38;0.01115365;0.178655975;5.2;"extinction_rate"
3.40715175000008e-40;0.01082925;0.1672094;5.6;"extinction_rate"
1.90489450000003e-41;0.01060805;0.158669;6;"extinction_rate"
1.72662225000001e-42;0.01032305;0.150984824999999;6.4;"extinction_rate"
9.15953825000063e-44;0.0100948;0.141052425;6.8;"extinction_rate"
8.85454250000006e-45;0.00982686;0.1324805;7.2;"extinction_rate"
7.51765975000002e-46;0.00959805;0.124519075;7.6;"extinction_rate"
3.27676875000005e-47;0.009380395;0.119911325;8;"extinction_rate"
9.53794025e-48;0.009227995;0.113903225;8.4;"extinction_rate"
4.72166150000006e-48;0.00909414;0.10987485;8.8;"extinction_rate"
9.73711500000004e-49;0.00896123;0.107384475;9.2;"extinction_rate"
4.0051465e-49;0.008869515;0.106524175;9.6;"extinction_rate"
1.14348100000003e-49;0.008795435;0.10485905;10;"extinction_rate"
1.96682700000002e-51;0.00866135;0.103283375;10.4;"extinction_rate"
9.76642125000002e-53;0.00858446;0.1026248;10.8;"extinction_rate"
1.63061675000016e-54;0.008521165;0.10082325;11.2;"extinction_rate"
7.05496450000004e-56;0.00839252;0.099570265;11.6;"extinction_rate"
5.59472625000001e-56;0.00831751;0.098757115;12;"extinction_rate"
4.44728550000005e-56;0.008246435;0.0980119674999999;12.4;"extinction_rate"
2.08210800000004e-56;0.00818412;0.097328535;12.8;"extinction_rate"
2.28039100000001e-56;0.008119555;0.0961071824999999;13.2;"extinction_rate"
6.56833825000011e-57;0.00804928;0.0946657999999998;13.6;"extinction_rate"
5.62846625000002e-58;0.008009405;0.0932288099999999;14;"extinction_rate"
9.41703675000007e-59;0.0078903;0.0929883474999999;14.4;"extinction_rate"
1.07980300000001e-58;0.00781806;0.0916695949999999;14.8;"extinction_rate"
3.05141300000005e-59;0.00776632;0.0913671324999999;15.2;"extinction_rate"
2.05102025000012e-60;0.007730105;0.09118798;15.6;"extinction_rate"
4.01431150000005e-61;0.00765457;0.0910856249999998;16;"extinction_rate"
3.64371475000004e-61;0.007611065;0.0904967674999997;16.4;"extinction_rate"
1.27226525000001e-61;0.00754666;0.0903305999999999;16.8;"extinction_rate"
1.29959750000001e-61;0.00751635;0.09009048;17.2;"extinction_rate"
1.25050900000003e-62;0.007465285;0.0902844425;17.6;"extinction_rate"
2.8883980000002e-63;0.007449555;0.08939934;18;"extinction_rate"
3.79114600000003e-64;0.007394785;0.0894973749999999;18.4;"extinction_rate"
1.92120950000001e-64;0.00731983;0.089667695;18.8;"extinction_rate"
1.40265850000002e-66;0.00726221;0.0897609975;19.2;"extinction_rate"
5.79168400000059e-67;0.00723195;0.0891647875;19.6;"extinction_rate"
2.53847075e-67;0.00717835;0.0884763674999999;20;"extinction_rate"
2.7951917500001e-67;0.00715891;0.0882887599999999;20.4;"extinction_rate"
2.7948572500001e-67;0.007123025;0.0886231724999997;20.8;"extinction_rate"
4.96044325000005e-67;0.00708203;0.0882431624999999;21.2;"extinction_rate"
6.39794900000004e-68;0.00707051;0.0879638349999999;21.6;"extinction_rate"
