"lower";"median";"upper";"time";"item"
0.000418614;0.0140794;0.443843;0;"extinction_rate"
0.000116005;0.0125949;0.237532;0.660906127697677;"extinction_rate"
3.45552e-05;0.0119263;0.204214;1.32181225539535;"extinction_rate"
8.28695e-06;0.0115336;0.189469;1.98271838309303;"extinction_rate"
7.80207e-07;0.011175;0.178547;2.64362451079071;"extinction_rate"
2.05679e-07;0.0109524;0.172522;3.30453063848838;"extinction_rate"
6.60132e-08;0.0106916;0.168046;3.96543676618606;"extinction_rate"
1.57787e-08;0.010448;0.164788;4.62634289388374;"extinction_rate"
3.83267e-09;0.0102287;0.160818;5.28724902158141;"extinction_rate"
1.7677e-09;0.0100777;0.159725;5.94815514927909;"extinction_rate"
3.26941e-10;0.0098975;0.158188;6.60906127697677;"extinction_rate"
1.48462e-10;0.00974187;0.158887;7.26996740467444;"extinction_rate"
6.02888e-11;0.00959614;0.160471;7.93087353237212;"extinction_rate"
2.90326e-11;0.00946769;0.162099;8.5917796600698;"extinction_rate"
7.43799e-12;0.00933339;0.163387;9.25268578776747;"extinction_rate"
1.98921e-12;0.0092026;0.164519;9.91359191546515;"extinction_rate"
8.21886e-13;0.00907764;0.167197;10.5744980431628;"extinction_rate"
4.228e-13;0.00896814;0.172526;11.2354041708605;"extinction_rate"
1.26782e-13;0.0088387;0.179193;11.8963102985582;"extinction_rate"
9.88809e-14;0.00869569;0.179429;12.5572164262559;"extinction_rate"
3.37772e-14;0.00858419;0.183316;13.2181225539535;"extinction_rate"
1.44769e-14;0.00846772;0.184797;13.8790286816512;"extinction_rate"
5.34609e-15;0.0083335;0.185455;14.5399348093489;"extinction_rate"
1.77628e-15;0.00823744;0.192149;15.2008409370466;"extinction_rate"
3.73425e-16;0.00816883;0.200339;15.8617470647442;"extinction_rate"
1.99021e-16;0.00810805;0.208407;16.5226531924419;"extinction_rate"
1.23501e-16;0.00802749;0.211954;17.1835593201396;"extinction_rate"
6.69296e-17;0.00796184;0.2146;17.8444654478373;"extinction_rate"
3.27188e-17;0.0078808;0.215734;18.5053715755349;"extinction_rate"
1.99118e-17;0.00783903;0.212662;19.1662777032326;"extinction_rate"
1.17283e-17;0.00774522;0.214196;19.8271838309303;"extinction_rate"
7.18268e-18;0.00763216;0.216353;20.488089958628;"extinction_rate"
4.93138e-18;0.00754059;0.212306;21.1489960863257;"extinction_rate"
2.65361e-18;0.00743782;0.212122;21.8099022140233;"extinction_rate"
1.04005e-18;0.00736741;0.210293;22.470808341721;"extinction_rate"
1.96882e-19;0.00729042;0.208251;23.1317144694187;"extinction_rate"
1.45923e-19;0.0072203;0.208255;23.7926205971164;"extinction_rate"
8.41274e-20;0.00716051;0.203586;24.453526724814;"extinction_rate"
6.88632e-20;0.00710601;0.201078;25.1144328525117;"extinction_rate"
3.1241e-20;0.00704524;0.199258;25.7753389802094;"extinction_rate"
2.20814e-20;0.00698843;0.19841;26.4362451079071;"extinction_rate"
1.00496e-20;0.00694099;0.189209;27.0971512356047;"extinction_rate"
7.33251e-21;0.00687242;0.18891;27.7580573633024;"extinction_rate"
4.16699e-21;0.00681396;0.183927;28.4189634910001;"extinction_rate"
4.0475e-21;0.00673471;0.176786;29.0798696186978;"extinction_rate"
3.15159e-21;0.00670428;0.17677;29.7407757463954;"extinction_rate"
7.79276e-22;0.00661533;0.175958;30.4016818740931;"extinction_rate"
4.51918e-22;0.00653413;0.170479;31.0625880017908;"extinction_rate"
9.72924e-23;0.0065151;0.168633;31.7234941294885;"extinction_rate"
3.08899e-23;0.00647377;0.167414;32.3844002571862;"extinction_rate"
1.53423e-23;0.00641748;0.161289;33.0453063848838;"extinction_rate"
1.35539e-23;0.00640053;0.159273;33.7062125125815;"extinction_rate"
1.06798e-23;0.00636945;0.158405;34.3671186402792;"extinction_rate"
4.80732e-24;0.00634984;0.149983;35.0280247679769;"extinction_rate"
2.9959e-24;0.00630507;0.149858;35.6889308956745;"extinction_rate"
6.38499e-25;0.00626103;0.147672;36.3498370233722;"extinction_rate"
3.78897e-25;0.00624044;0.144536;37.0107431510699;"extinction_rate"
3.02482e-25;0.00618709;0.141004;37.6716492787676;"extinction_rate"
1.80985e-25;0.0061288;0.139486;38.3325554064652;"extinction_rate"
7.28633e-26;0.00609248;0.134577;38.9934615341629;"extinction_rate"
4.45566e-26;0.00607833;0.131453;39.6543676618606;"extinction_rate"
2.33576e-26;0.00603799;0.127561;40.3152737895583;"extinction_rate"
7.98442e-27;0.00599369;0.125838;40.976179917256;"extinction_rate"
5.30909e-27;0.00594869;0.124723;41.6370860449536;"extinction_rate"
3.62549e-27;0.00590825;0.121494;42.2979921726513;"extinction_rate"
2.63305e-27;0.00587476;0.12022;42.958898300349;"extinction_rate"
2.35035e-27;0.00584687;0.11959;43.6198044280467;"extinction_rate"
2.2952e-27;0.00583921;0.1189;44.2807105557443;"extinction_rate"
8.01693e-28;0.00581876;0.115738;44.941616683442;"extinction_rate"
6.52063e-28;0.00575863;0.112386;45.6025228111397;"extinction_rate"
3.48476e-28;0.00575216;0.110151;46.2634289388374;"extinction_rate"
2.66992e-28;0.00573784;0.107952;46.924335066535;"extinction_rate"
2.2847e-28;0.00571371;0.106008;47.5852411942327;"extinction_rate"
1.96155e-28;0.00568434;0.104465;48.2461473219304;"extinction_rate"
1.79966e-28;0.00565232;0.102728;48.9070534496281;"extinction_rate"
1.40306e-28;0.00563745;0.102234;49.5679595773258;"extinction_rate"
1.8155e-28;0.00562148;0.101306;50.2288657050234;"extinction_rate"
5.3484e-29;0.00560971;0.0998595;50.8897718327211;"extinction_rate"
1.49762e-29;0.00560159;0.0992267;51.5506779604188;"extinction_rate"
1.38708e-29;0.0055677;0.0965631;52.2115840881165;"extinction_rate"
6.06944e-30;0.00555538;0.0952217;52.8724902158141;"extinction_rate"
6.43441e-30;0.00552716;0.0933637;53.5333963435118;"extinction_rate"
4.37479e-30;0.00551899;0.0928429;54.1943024712095;"extinction_rate"
1.96792e-30;0.00549672;0.0923481;54.8552085989072;"extinction_rate"
2.25183e-30;0.0054917;0.0926186;55.5161147266048;"extinction_rate"
1.81793e-30;0.0054666;0.0921363;56.1770208543025;"extinction_rate"
2.45719e-30;0.00546472;0.0917986;56.8379269820002;"extinction_rate"
4.04479e-30;0.00544273;0.0909871;57.4988331096979;"extinction_rate"
