"lower";"median";"upper";"time";"item"
0.00350496;0.142813;21.2866;0;"extinction_rate"
1.85129e-11;0.0929301;6.98182;0.168654638841414;"extinction_rate"
3.20334e-17;0.0754668;3.83257;0.337309277682828;"extinction_rate"
8.9912e-23;0.0668641;2.64199;0.505963916524242;"extinction_rate"
5.59241e-25;0.0618807;2.0603;0.674618555365657;"extinction_rate"
7.20578e-27;0.0576238;1.74723;0.843273194207071;"extinction_rate"
1.47815e-29;0.0542176;1.42271;1.01192783304848;"extinction_rate"
2.07444e-31;0.0518004;1.18759;1.1805824718899;"extinction_rate"
1.59381e-32;0.049691;1.06733;1.34923711073131;"extinction_rate"
9.98562e-35;0.0481375;0.951008;1.51789174957273;"extinction_rate"
6.88693e-35;0.0463701;0.82153;1.68654638841414;"extinction_rate"
3.19466e-36;0.0447965;0.741722;1.85520102725556;"extinction_rate"
2.73959e-38;0.0432246;0.659714;2.02385566609697;"extinction_rate"
7.79981e-39;0.0418419;0.588031;2.19251030493838;"extinction_rate"
3.56875e-40;0.0402082;0.528337;2.3611649437798;"extinction_rate"
2.07268e-41;0.0390645;0.495632;2.52981958262121;"extinction_rate"
1.75176e-42;0.0382413;0.466144;2.69847422146263;"extinction_rate"
1.63668e-43;0.0376767;0.45059;2.86712886030404;"extinction_rate"
6.83528e-45;0.0367774;0.421989;3.03578349914545;"extinction_rate"
5.24885e-46;0.0359954;0.411934;3.20443813798687;"extinction_rate"
1.40941e-46;0.0354376;0.398768;3.37309277682828;"extinction_rate"
2.4612e-47;0.0347025;0.391369;3.5417474156697;"extinction_rate"
3.12704e-48;0.0344255;0.386618;3.71040205451111;"extinction_rate"
9.18766e-49;0.0340066;0.376988;3.87905669335253;"extinction_rate"
8.83195e-49;0.0335812;0.366007;4.04771133219394;"extinction_rate"
1.38547e-50;0.0331407;0.362174;4.21636597103535;"extinction_rate"
5.75485e-52;0.0327046;0.358895;4.38502060987677;"extinction_rate"
6.54837e-53;0.0323976;0.355517;4.55367524871818;"extinction_rate"
1.12315e-53;0.0319736;0.353544;4.7223298875596;"extinction_rate"
3.44742e-54;0.031813;0.354633;4.89098452640101;"extinction_rate"
1.15706e-54;0.0314986;0.35434;5.05963916524242;"extinction_rate"
1.87371e-55;0.0312468;0.356341;5.22829380408384;"extinction_rate"
1.22948e-55;0.0309849;0.354576;5.39694844292525;"extinction_rate"
1.86647e-57;0.0307105;0.353403;5.56560308176667;"extinction_rate"
3.01972e-58;0.0305672;0.350924;5.73425772060808;"extinction_rate"
4.602e-59;0.0304456;0.352013;5.9029123594495;"extinction_rate"
1.03262e-59;0.0301566;0.352438;6.07156699829091;"extinction_rate"
2.32496e-60;0.0301691;0.353478;6.24022163713232;"extinction_rate"
2.34727e-60;0.0300667;0.356347;6.40887627597374;"extinction_rate"
2.30726e-60;0.0297725;0.356836;6.57753091481515;"extinction_rate"
2.10608e-61;0.0296235;0.352585;6.74618555365657;"extinction_rate"
2.0351e-62;0.0293752;0.353932;6.91484019249798;"extinction_rate"
8.35561e-64;0.0292886;0.353203;7.08349483133939;"extinction_rate"
7.96314e-64;0.0291978;0.353019;7.25214947018081;"extinction_rate"
1.02388e-64;0.02908;0.352802;7.42080410902222;"extinction_rate"
7.11494e-66;0.0289448;0.351277;7.58945874786364;"extinction_rate"
4.67151e-67;0.0288109;0.353151;7.75811338670505;"extinction_rate"
1.90683e-67;0.0287736;0.355325;7.92676802554647;"extinction_rate"
1.90994e-67;0.0287969;0.355644;8.09542266438788;"extinction_rate"
1.64699e-67;0.0287281;0.357065;8.26407730322929;"extinction_rate"
1.40927e-67;0.0285114;0.358338;8.43273194207071;"extinction_rate"
5.65426e-68;0.0284409;0.356806;8.60138658091212;"extinction_rate"
1.23612e-67;0.0282915;0.357203;8.77004121975354;"extinction_rate"
7.38786e-68;0.0282284;0.360206;8.93869585859495;"extinction_rate"
1.46779e-67;0.0280051;0.358329;9.10735049743636;"extinction_rate"
6.00383e-68;0.0278697;0.359205;9.27600513627778;"extinction_rate"
1.17379e-68;0.027595;0.355731;9.44465977511919;"extinction_rate"
9.00313e-69;0.0274555;0.354017;9.61331441396061;"extinction_rate"
1.63386e-70;0.0273658;0.35326;9.78196905280202;"extinction_rate"
1.96459e-71;0.0272054;0.35156;9.95062369164344;"extinction_rate"
6.38891e-72;0.0269761;0.346271;10.1192783304848;"extinction_rate"
5.11553e-72;0.0267392;0.34502;10.2879329693263;"extinction_rate"
1.82292e-72;0.0265483;0.347327;10.4565876081677;"extinction_rate"
1.52281e-72;0.0263758;0.340998;10.6252422470091;"extinction_rate"
8.92693e-73;0.0262916;0.339695;10.7938968858505;"extinction_rate"
6.84773e-73;0.0261265;0.338657;10.9625515246919;"extinction_rate"
5.13994e-73;0.025853;0.333302;11.1312061635333;"extinction_rate"
3.89553e-73;0.0258289;0.332713;11.2998608023747;"extinction_rate"
1.34402e-73;0.0256919;0.332978;11.4685154412162;"extinction_rate"
1.22709e-73;0.0254242;0.330706;11.6371700800576;"extinction_rate"
1.18554e-74;0.0252939;0.330021;11.805824718899;"extinction_rate"
1.53644e-75;0.0252762;0.325997;11.9744793577404;"extinction_rate"
4.09212e-76;0.025077;0.326595;12.1431339965818;"extinction_rate"
2.21304e-75;0.0248716;0.324754;12.3117886354232;"extinction_rate"
2.15621e-75;0.024861;0.325163;12.4804432742646;"extinction_rate"
1.48208e-75;0.0246325;0.321488;12.6490979131061;"extinction_rate"
2.37324e-76;0.0245345;0.320287;12.8177525519475;"extinction_rate"
1.09306e-76;0.0244821;0.3208;12.9864071907889;"extinction_rate"
1.09278e-76;0.0244196;0.320475;13.1550618296303;"extinction_rate"
9.60157e-78;0.0243312;0.319624;13.3237164684717;"extinction_rate"
4.7407e-78;0.0241657;0.317929;13.4923711073131;"extinction_rate"
2.5293e-78;0.0239728;0.314322;13.6610257461545;"extinction_rate"
4.57548e-78;0.0238103;0.314461;13.829680384996;"extinction_rate"
2.54533e-79;0.0236934;0.310089;13.9983350238374;"extinction_rate"
3.08661e-80;0.0235056;0.3092;14.1669896626788;"extinction_rate"
3.60751e-80;0.0234524;0.308606;14.3356443015202;"extinction_rate"
1.91909e-80;0.023288;0.308708;14.5042989403616;"extinction_rate"
1.528e-81;0.0231753;0.310179;14.672953579203;"extinction_rate"
2.82952e-82;0.0232644;0.308047;14.8416082180444;"extinction_rate"
8.62288e-83;0.0230582;0.310667;15.0102628568859;"extinction_rate"
1.20842e-83;0.0229295;0.311227;15.1789174957273;"extinction_rate"
2.65014e-84;0.0228314;0.309094;15.3475721345687;"extinction_rate"
2.53241e-84;0.0228538;0.309902;15.5162267734101;"extinction_rate"
1.37898e-85;0.0227814;0.312121;15.6848814122515;"extinction_rate"
1.3785e-85;0.0228509;0.312784;15.8535360510929;"extinction_rate"
2.4196e-85;0.0226303;0.307743;16.0221906899343;"extinction_rate"
1.55291e-85;0.0224677;0.307512;16.1908453287758;"extinction_rate"
1.06284e-85;0.0224917;0.309906;16.3594999676172;"extinction_rate"
7.20132e-86;0.0223937;0.309022;16.5281546064586;"extinction_rate"
2.42153e-86;0.0225078;0.311609;16.6968092453;"extinction_rate"
0.0957942;0.225169;1.26433;0;"speciation_rate"
0.0955152;0.223981;1.25361;0.168654638841414;"speciation_rate"
0.0950251;0.223131;1.21626;0.337309277682828;"speciation_rate"
0.0949096;0.222464;1.17455;0.505963916524242;"speciation_rate"
0.0951278;0.22216;1.15255;0.674618555365657;"speciation_rate"
0.0949238;0.221707;1.0875;0.843273194207071;"speciation_rate"
0.0950325;0.221054;1.0488;1.01192783304848;"speciation_rate"
0.095011;0.220928;1.01682;1.1805824718899;"speciation_rate"
0.0952937;0.220723;0.996096;1.34923711073131;"speciation_rate"
0.0956552;0.220874;0.983659;1.51789174957273;"speciation_rate"
0.0952495;0.22077;0.953906;1.68654638841414;"speciation_rate"
0.0955999;0.220389;0.936613;1.85520102725556;"speciation_rate"
0.0955761;0.220444;0.930688;2.02385566609697;"speciation_rate"
0.0955723;0.220627;0.915955;2.19251030493838;"speciation_rate"
0.0956749;0.220832;0.898512;2.3611649437798;"speciation_rate"
0.0958458;0.221364;0.893924;2.52981958262121;"speciation_rate"
0.0964337;0.221658;0.89597;2.69847422146263;"speciation_rate"
0.0967501;0.222075;0.891216;2.86712886030404;"speciation_rate"
0.097009;0.22229;0.872134;3.03578349914545;"speciation_rate"
0.0975029;0.222567;0.862869;3.20443813798687;"speciation_rate"
0.0978148;0.222781;0.850555;3.37309277682828;"speciation_rate"
0.098024;0.223281;0.851924;3.5417474156697;"speciation_rate"
